,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2672,4,1.0,1.0,2.0,146.0,3,1125,46
2168,2,1.0,1.0,1.0,65.0,5,1125,7
1847,6,2.0,1.0,3.0,160.0,2,700,232
7231,2,0.0,1.0,0.0,85.0,2,15,52
4756,2,1.0,1.0,1.0,55.0,7,30,20
2802,3,1.0,1.0,2.0,50.0,3,1125,24
7209,1,0.0,1.0,1.0,60.0,2,1125,112
4404,5,3.0,1.0,3.0,149.0,5,21,15
6306,2,1.0,1.0,1.0,70.0,3,1125,44
1999,4,1.0,1.0,2.0,145.0,2,10,59
124,4,1.0,1.0,1.0,120.0,3,31,12
4560,4,1.0,1.0,2.0,240.0,3,120,73
3591,3,2.0,1.0,2.0,63.0,3,200,79
6963,1,0.0,1.0,1.0,48.0,3,1125,274
2348,2,1.0,1.0,1.0,90.0,4,30,3
7732,3,2.0,1.0,2.0,127.0,3,31,251
798,4,2.0,1.0,2.0,99.0,3,25,66
1586,2,1.0,1.0,1.0,110.0,2,60,313
3610,2,1.0,1.0,1.0,85.0,3,10,20
5985,3,1.0,1.0,2.0,51.0,4,85,21
4076,4,0.0,1.0,1.0,70.0,3,31,25
7056,2,0.0,1.0,1.0,53.0,1,1125,223
5102,4,2.0,1.0,3.0,250.0,8,15,26
6495,2,1.0,1.0,1.0,90.0,2,1125,8
6146,5,2.0,1.0,3.0,100.0,6,30,13
7367,2,0.0,1.0,1.0,55.0,3,30,7
1606,4,1.0,1.0,4.0,105.0,3,30,79
4670,2,1.0,1.0,1.0,55.0,3,15,33
7972,2,1.0,1.0,1.0,75.0,2,1125,17
3549,4,0.0,1.0,2.0,150.0,3,1125,86
4379,2,1.0,1.0,2.0,85.0,370,1125,3
5963,2,0.0,1.0,2.0,80.0,1,1125,0
5514,4,1.0,1.0,3.0,60.0,4,20,14
5136,2,1.0,1.0,1.0,50.0,2,1125,7
1537,5,2.0,1.0,2.0,125.0,1,21,1
5717,2,1.0,1.0,1.0,75.0,2,1125,68
2125,3,1.0,1.0,2.0,165.0,3,365,1
6498,3,1.0,1.0,2.0,39.0,3,1125,9
6234,2,0.0,1.0,1.0,50.0,2,60,17
1441,4,1.0,1.0,1.0,85.0,1,15,42
3260,3,1.0,1.0,2.0,139.0,1,90,157
2715,6,3.0,2.0,3.0,250.0,5,60,8
4410,4,1.0,1.0,2.0,60.0,2,1125,2
1045,2,1.0,1.0,1.0,95.0,3,8,22
7552,2,1.0,1.0,1.0,60.0,1,1125,0
7153,3,0.0,1.0,2.0,70.0,5,32,45
578,5,2.0,1.0,3.0,145.0,2,90,9
4824,2,0.0,1.0,1.0,65.0,10,1125,0
7557,2,1.0,1.0,0.0,60.0,4,20,15
4917,3,1.0,1.0,2.0,90.0,1,1125,36
2774,2,2.0,1.0,2.0,170.0,7,61,7
3885,2,1.0,1.0,1.0,79.0,90,1125,70
3247,2,1.0,1.0,1.0,18.0,3,16,0
1175,2,1.0,1.0,1.0,110.0,2,30,10
2085,4,1.0,1.0,0.0,134.0,7,1125,10
7312,2,0.0,1.0,1.0,65.0,3,1125,15
1571,2,0.0,1.0,1.0,80.0,1,7,336
1337,2,0.0,1.0,1.0,55.0,7,40,84
6880,6,2.0,1.5,3.0,130.0,30,305,94
7152,2,1.0,1.0,1.0,85.0,3,30,113
3548,2,0.0,1.0,1.0,80.0,5,30,111
1206,2,1.0,1.0,1.0,55.0,5,1125,9
637,4,1.0,1.0,2.0,100.0,4,365,68
498,4,0.0,1.0,2.0,98.0,30,1125,5
7048,5,3.0,1.5,3.0,12.0,2,1125,9
6476,4,1.0,1.0,1.0,88.0,6,20,0
7302,4,1.0,1.0,2.0,135.0,5,120,45
2851,2,1.0,1.0,1.0,47.0,3,1125,89
4043,2,0.0,1.0,0.0,160.0,4,240,37
5968,5,2.0,1.0,3.0,250.0,14,1125,0
7518,2,1.0,1.0,1.0,280.0,2,6,48
861,4,1.0,1.0,2.0,130.0,1,1125,404
2895,4,1.0,1.0,2.0,235.0,6,35,69
7388,2,0.0,1.0,1.0,59.0,30,362,152
5282,6,2.0,2.5,4.0,199.0,7,29,2
3249,6,2.0,1.0,2.0,65.0,4,10,11
7363,2,1.0,1.0,1.0,45.0,2,1125,5
7039,2,1.0,1.0,1.0,180.0,3,7,58
487,2,1.0,1.0,1.0,40.0,21,21,0
2708,4,2.0,2.0,2.0,175.0,5,1125,1
3092,4,1.0,1.0,2.0,92.0,5,10,73
442,2,1.0,1.0,1.0,45.0,4,38,31
6553,2,1.0,1.0,1.0,45.0,1,14,1
355,2,1.0,1.0,1.0,143.0,4,572,37
4160,2,1.0,1.0,1.0,75.0,30,1125,0
3124,3,1.0,1.0,1.0,133.0,91,1125,10
7094,2,1.0,1.0,0.0,85.0,1,1125,8
251,1,1.0,0.5,1.0,25.0,30,305,8
5374,2,1.0,1.0,1.0,65.0,3,1125,44
4613,2,1.0,1.0,1.0,72.0,2,1125,34
3696,2,0.0,1.0,1.0,99.0,3,1125,6
6336,5,2.0,1.0,3.0,110.0,3,8,1
3897,2,1.0,1.0,1.0,89.0,5,15,49
4254,2,1.0,1.0,1.0,90.0,120,1125,18
4445,2,0.0,1.0,1.0,34.0,20,50,36
4198,6,3.0,2.0,3.0,128.0,3,1125,11
6754,2,1.0,1.0,1.0,110.0,4,15,59
5370,6,3.0,1.5,4.0,290.0,5,20,10
1245,4,1.0,1.0,2.0,70.0,5,45,18
1646,4,1.0,1.0,1.0,150.0,7,60,77
4579,6,3.0,2.0,4.0,245.0,2,1125,48
4462,2,1.0,1.0,1.0,70.0,2,30,3
4662,2,1.0,1.0,1.0,65.0,2,100,99
6764,4,1.0,1.0,2.0,108.0,8,1125,0
7718,2,1.0,1.0,1.0,70.0,4,1125,18
