,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4650,2,1.0,1.0,1.0,150.0,4,31,113
7494,2,1.0,1.0,1.0,83.0,1,1125,63
6354,3,1.0,1.0,2.0,79.0,2,1125,58
4800,4,1.0,1.5,1.0,75.0,90,100,1
4775,2,1.0,1.0,1.0,129.0,3,30,32
1684,4,2.0,2.0,3.0,145.0,5,20,49
6300,6,2.0,1.0,5.0,160.0,4,365,29
6288,2,1.0,1.0,1.0,90.0,3,92,126
969,2,1.0,1.0,1.0,30.0,15,60,2
4245,2,0.0,1.0,1.0,60.0,3,1125,0
142,4,3.0,1.0,3.0,80.0,6,18,5
3211,7,3.0,1.5,4.0,255.0,91,1125,26
4659,2,1.0,1.0,1.0,70.0,2,1125,0
7113,2,1.0,1.0,0.0,140.0,2,1125,11
1894,5,2.0,1.0,3.0,115.0,3,1125,8
199,2,1.0,1.0,1.0,52.0,6,478,259
2907,4,1.0,1.0,2.0,130.0,7,1125,32
256,2,1.0,1.0,1.0,60.0,3,30,251
4737,3,0.0,1.0,2.0,45.0,10,169,14
3134,2,1.0,1.5,1.0,295.0,3,30,96
6888,2,1.0,1.0,1.0,70.0,7,7,0
5567,6,2.0,1.5,3.0,149.0,3,90,3
4747,3,0.0,1.0,1.0,69.0,1,1125,206
1924,2,1.0,1.0,1.0,45.0,3,15,142
2275,4,1.0,1.0,2.0,85.0,5,120,109
1027,4,1.0,1.0,2.0,110.0,3,30,110
4592,2,1.0,1.0,1.0,160.0,2,8,72
504,3,2.0,1.0,2.0,70.0,3,90,33
6642,2,0.0,1.0,1.0,50.0,3,1125,13
113,4,1.0,1.0,1.0,120.0,3,10,105
2566,2,1.0,1.0,1.0,130.0,3,100,98
2615,4,2.0,1.0,2.0,150.0,2,30,88
2006,8,4.0,2.0,5.0,240.0,2,1125,40
4045,1,1.0,1.0,0.0,49.0,5,1125,36
1897,2,1.0,1.0,1.0,75.0,1,14,110
4047,5,2.0,1.0,3.0,89.0,1,1125,5
930,2,1.0,1.0,0.0,130.0,2,30,27
4387,2,1.0,1.0,1.0,120.0,4,1125,21
5476,3,1.0,1.0,2.0,70.0,14,31,1
7996,4,1.0,1.0,2.0,60.0,3,1125,4
2052,2,1.0,1.0,1.0,150.0,4,30,17
6016,2,1.0,1.0,0.0,55.0,2,1125,54
7719,2,0.0,1.0,1.0,48.0,7,14,10
1076,2,1.0,1.0,1.0,85.0,2,60,214
986,3,1.0,1.0,2.0,65.0,5,45,17
4849,4,1.0,1.0,2.0,78.0,2,1125,58
1458,4,2.0,1.0,2.0,140.0,5,10,0
5525,2,1.0,1.0,1.0,72.0,5,1125,12
4748,2,1.0,1.0,1.0,80.0,4,1125,22
2018,6,2.0,1.0,3.0,150.0,2,14,76
4783,5,2.0,1.0,3.0,80.0,4,1125,17
6443,4,2.0,1.0,2.0,120.0,4,1125,0
3148,2,1.0,1.0,1.0,55.0,2,1125,9
4460,2,0.0,1.0,1.0,55.0,2,1125,11
2197,4,1.0,1.0,2.0,112.0,4,90,29
6448,2,1.0,1.0,1.0,35.0,3,200,40
7236,4,1.0,1.0,1.0,180.0,2,1125,129
1559,4,1.0,1.0,2.0,135.0,2,150,157
386,2,1.0,1.0,1.0,115.0,2,14,86
7773,3,1.0,1.0,2.0,50.0,1,3,0
6434,2,0.0,1.0,1.0,60.0,4,1125,2
6077,2,1.0,1.0,1.0,57.0,2,21,3
7206,2,1.0,1.0,1.0,185.0,2,1125,84
5655,6,3.0,2.0,3.0,169.0,3,1125,16
7807,3,1.0,1.0,2.0,65.0,2,1125,11
7729,2,1.0,1.0,0.0,46.0,1,31,310
3326,3,1.0,1.0,2.0,109.0,3,365,6
4002,2,1.0,1.0,1.0,230.0,3,40,3
6981,4,1.0,1.0,2.0,140.0,3,1125,189
3523,2,1.0,1.0,1.0,38.0,3,1125,2
7042,2,0.0,1.0,1.0,60.0,3,30,301
3497,4,2.0,1.0,2.0,110.0,3,21,6
151,2,1.0,1.0,1.0,99.0,2,365,206
5509,3,2.0,1.0,1.0,150.0,5,1125,3
1199,4,2.0,1.0,2.0,80.0,2,15,9
1271,4,2.0,1.0,2.0,125.0,6,30,47
3306,4,1.0,1.0,2.0,169.0,7,120,1
6587,4,1.0,1.0,2.0,110.0,3,90,13
7813,2,1.0,1.0,1.0,80.0,3,100,41
3994,2,0.0,1.0,1.0,109.0,4,366,5
6978,5,1.0,1.0,1.0,100.0,14,18,40
3049,2,0.0,1.0,1.0,60.0,1,112,31
3435,4,1.0,1.0,3.0,79.0,4,1125,146
4331,2,1.0,1.0,1.0,50.0,4,18,29
7965,2,1.0,1.0,1.0,90.0,1,1125,0
3867,2,1.0,1.0,1.0,50.0,1,5,322
5040,2,0.0,1.0,1.0,59.0,5,60,15
2409,1,1.0,0.5,1.0,29.0,6,1125,57
4296,7,3.0,1.0,4.0,195.0,3,30,87
4104,4,1.0,1.5,0.0,155.0,3,1125,58
5209,5,1.0,1.5,3.0,95.0,4,1125,19
3475,2,1.0,1.0,1.0,99.0,2,7,56
4986,2,0.0,1.0,1.0,90.0,1,1125,0
4034,2,1.0,1.5,2.0,120.0,5,1125,20
3801,4,2.0,1.0,3.0,130.0,2,21,58
3460,2,0.0,1.0,1.0,67.0,28,1125,29
4128,4,1.0,1.0,2.0,90.0,3,21,122
4915,1,1.0,1.0,1.0,69.0,2,1125,75
7443,2,1.0,1.0,1.0,150.0,2,1125,12
5271,4,1.0,1.5,2.0,300.0,30,1125,24
6988,3,2.0,1.0,2.0,70.0,7,15,10
7763,4,2.0,1.0,2.0,84.0,2,1125,0
5834,2,1.0,1.0,1.0,102.0,3,40,55
6390,5,2.0,1.0,2.0,75.0,5,1125,0
7764,2,1.0,1.0,1.0,89.0,4,1125,15
2767,2,1.0,1.0,1.0,99.0,7,30,33
7766,4,1.0,1.5,2.0,150.0,2,1125,4
5232,9,5.0,2.0,6.0,380.0,2,1125,48
6683,6,2.0,1.0,2.0,99.0,2,1125,76
6325,6,3.0,2.0,3.0,210.0,4,31,3
2347,5,2.0,1.0,1.0,90.0,2,1125,0
2665,4,2.0,1.0,3.0,65.0,10,31,19
2914,4,1.0,1.0,2.0,71.0,3,1125,20
7159,2,0.0,1.0,1.0,60.0,4,1125,74
7263,3,1.0,1.0,2.0,50.0,2,180,4
5757,10,4.0,3.0,5.0,350.0,3,1125,1
7876,4,1.0,1.0,2.0,120.0,4,1125,23
4233,2,0.0,1.0,1.0,65.0,366,366,2
4055,2,0.0,1.0,2.0,65.0,5,1125,35
4478,6,2.0,1.0,4.0,139.0,4,120,83
5704,2,1.0,1.0,1.0,100.0,2,1125,18
7492,4,1.0,1.0,1.0,70.0,6,112,35
3221,2,1.0,1.0,1.0,140.0,91,1125,4
3165,4,1.0,1.0,2.0,110.0,5,20,35
4550,4,1.0,1.0,2.0,240.0,2,365,156
1263,4,1.0,1.0,2.0,70.0,1,1125,138
884,6,2.0,1.0,4.0,109.0,3,1125,17
7495,2,1.0,1.0,1.0,200.0,3,1125,0
5615,4,1.0,1.0,2.0,65.0,6,1125,5
6962,2,1.0,1.0,1.0,45.0,2,34,49
7375,4,1.0,2.5,4.0,500.0,1,1125,0
2444,4,2.0,1.0,2.0,220.0,3,45,19
3847,3,1.0,1.5,1.0,100.0,3,180,9
6971,2,2.0,1.0,2.0,90.0,90,200,0
5181,1,1.0,1.0,1.0,60.0,5,1125,0
4771,2,1.0,1.0,1.0,70.0,2,1125,1
6260,4,1.0,1.0,1.0,120.0,4,90,21
338,2,1.0,1.0,1.0,65.0,6,365,119
2633,5,1.0,1.0,3.0,75.0,4,21,11
2974,2,1.0,1.0,1.0,61.0,2,15,14
2289,2,1.0,1.0,1.0,90.0,3,365,51
4234,2,1.0,1.0,0.0,85.0,1,1125,20
3283,5,2.0,1.0,2.0,195.0,91,1125,21
1797,2,1.0,1.0,1.0,33.0,1,350,134
7092,3,1.0,1.0,3.0,280.0,1,365,22
626,6,2.0,1.0,4.0,125.0,5,365,108
2424,2,1.0,1.0,1.0,70.0,1,30,13
848,3,1.0,1.0,2.0,78.0,7,30,20
874,5,1.0,1.0,1.0,80.0,1,730,295
7502,2,1.0,1.0,1.0,45.0,1,1125,10
4046,3,1.0,1.0,2.0,125.0,1,1125,54
5569,3,1.0,1.0,2.0,35.0,5,1125,2
2749,3,1.0,1.0,1.0,55.0,3,30,51
1128,3,2.0,1.0,1.0,120.0,4,30,65
6859,3,0.0,1.0,1.0,80.0,3,1125,10
6151,4,2.0,2.0,2.0,300.0,1,1125,0
4516,2,1.0,0.0,1.0,69.0,2,1125,20
406,2,1.0,1.0,1.0,90.0,6,180,99
7251,4,1.0,1.0,2.0,80.0,1,1125,1
1495,4,1.0,1.0,1.0,98.0,2,365,15
98,2,1.0,1.0,1.0,34.0,3,1125,55
2322,4,1.0,1.0,2.0,183.0,3,365,13
1202,2,1.0,1.0,1.0,60.0,4,20,13
2459,3,1.0,1.0,1.0,80.0,2,12,4
1593,2,1.0,1.0,1.0,99.0,3,60,9
3584,3,1.0,1.0,1.0,195.0,2,15,190
6464,5,2.0,1.0,3.0,149.0,2,7,30
4872,2,0.0,1.0,1.0,80.0,4,90,9
6460,4,0.0,1.0,2.0,52.0,4,1125,18
6623,2,1.0,1.0,1.0,95.0,1,1125,30
4398,4,0.0,1.0,2.0,99.0,3,1125,226
4909,4,2.0,1.0,3.0,95.0,6,15,30
6907,2,1.0,1.0,1.0,80.0,7,27,1
4634,2,1.0,1.0,1.0,65.0,3,1125,21
3877,4,1.0,1.0,2.0,60.0,2,1125,34
6565,2,1.0,1.0,1.0,60.0,2,31,14
2877,4,1.0,1.0,2.0,49.0,4,21,11
2203,4,2.0,1.0,2.0,110.0,4,30,134
6836,4,1.0,2.0,2.0,195.0,2,1125,19
4170,6,3.0,0.0,5.0,100.0,4,1125,12
5944,6,3.0,1.0,4.0,170.0,7,90,36
5424,2,1.0,1.0,1.0,60.0,3,15,0
2576,2,1.0,1.0,1.0,100.0,180,305,4
6009,1,1.0,0.5,1.0,35.0,14,1125,15
7611,2,1.0,1.0,1.0,100.0,1,15,20
5229,5,2.0,1.0,4.0,185.0,6,60,1
36,4,2.0,1.0,2.0,49.0,6,36,27
2481,4,1.0,1.0,0.0,125.0,3,769,0
4578,5,2.0,1.0,3.0,120.0,3,14,50
1683,6,2.0,1.0,2.0,220.0,2,16,75
1768,8,4.0,2.0,4.0,320.0,3,1124,200
45,2,1.0,1.0,1.0,190.0,3,7,0
6406,2,1.0,1.0,1.0,70.0,1,1125,0
869,5,3.0,2.0,3.0,300.0,7,30,0
2900,6,2.0,1.0,2.0,245.0,4,1125,78
11,2,1.0,1.0,1.0,100.0,7,90,13
1129,6,3.0,1.0,4.0,115.0,4,365,9
3521,4,0.0,1.0,2.0,54.0,91,366,3
224,4,2.0,1.0,2.0,55.0,5,10,3
2873,2,1.0,1.0,1.0,72.0,2,5,10
3741,4,1.0,1.0,2.0,150.0,1,1125,1
6497,5,2.0,1.0,3.0,98.0,6,1125,1
3923,4,1.0,1.0,2.0,99.0,2,21,47
4016,2,0.0,0.5,1.0,89.0,1,1125,3
3707,4,2.0,1.0,2.0,70.0,1,1125,0
1572,2,1.0,1.0,1.0,120.0,3,10,2
3598,4,2.0,2.0,2.0,278.0,3,365,38
3025,2,0.0,1.0,1.0,73.0,2,180,60
7470,2,1.0,1.0,1.0,50.0,3,1125,3
4444,2,1.0,1.0,1.0,105.0,1,1125,8
4812,2,1.0,1.0,1.0,80.0,1,1125,30
4686,2,1.0,1.5,1.0,65.0,2,4,22
3360,2,1.0,1.0,0.0,69.0,30,305,3
514,2,1.0,1.0,1.0,70.0,4,365,22
6703,2,1.0,1.0,1.0,70.0,3,1125,31
352,6,3.0,1.0,4.0,115.0,7,30,6
7220,5,3.0,1.0,3.0,80.0,5,21,36
1261,2,1.0,1.0,1.0,50.0,3,1125,0
5205,4,2.0,1.0,1.0,90.0,5,1125,13
1597,4,2.0,1.0,2.0,50.0,2,1125,26
6686,2,0.0,1.0,1.0,33.0,1,1125,3
1732,2,1.0,1.0,1.0,60.0,4,365,5
569,5,1.0,1.0,3.0,89.0,3,21,65
5566,2,1.0,1.0,1.0,70.0,4,1125,13
2267,4,1.0,1.0,2.0,110.0,1,450,108
7559,6,3.0,2.0,4.0,636.0,4,30,41
5870,4,1.0,1.0,1.0,80.0,2,10,55
4515,2,0.0,1.0,1.0,55.0,5,1125,16
5360,3,2.0,1.0,2.0,70.0,7,30,0
5790,5,2.0,1.0,4.0,140.0,1,20,39
6481,2,1.0,1.0,1.0,80.0,2,1125,0
5716,2,1.0,1.0,1.0,50.0,7,1125,2
78,4,1.0,1.5,2.0,922.0,2,365,34
954,3,1.0,1.0,2.0,150.0,5,50,3
1782,3,2.0,1.0,2.0,108.0,10,60,29
7839,2,1.0,1.0,1.0,70.0,3,30,2
7721,2,0.0,1.0,0.0,60.0,3,120,154
1098,4,1.0,1.0,2.0,100.0,2,45,143
3301,4,2.0,2.0,2.0,395.0,2,1125,10
4926,4,1.0,1.0,3.0,80.0,2,1125,243
6946,3,1.0,1.5,2.0,52.0,3,30,24
7599,4,1.0,1.0,2.0,200.0,5,16,4
7938,3,1.0,1.0,1.0,60.0,2,30,14
414,2,1.0,1.0,1.0,70.0,7,1124,37
3220,2,0.0,1.0,1.0,49.0,3,10,5
806,5,3.0,1.0,3.0,100.0,5,30,49
7605,3,1.0,1.0,1.0,90.0,1,1125,0
6045,6,2.0,1.0,3.0,69.0,4,1125,3
1720,3,1.0,1.0,2.0,55.0,5,60,98
2281,4,1.0,1.0,2.0,95.0,4,20,4
7228,2,1.0,1.0,1.0,50.0,2,1125,17
6851,5,2.0,1.0,3.0,120.0,4,1125,11
6269,2,1.0,1.0,1.0,71.0,1,7,0
7479,4,2.0,2.0,2.0,650.0,5,1125,0
7123,1,1.0,1.0,1.0,33.0,5,1125,97
3198,2,0.0,1.0,1.0,49.0,2,365,151
7909,2,0.0,1.0,1.0,39.0,2,1125,0
959,4,2.0,1.0,3.0,145.0,5,1125,35
1523,2,1.0,1.0,1.0,40.0,5,20,15
50,2,0.0,1.0,1.0,76.0,60,1095,32
5857,2,0.0,1.0,1.0,150.0,2,1125,3
1021,10,4.0,4.5,5.0,1206.0,2,60,14
5490,2,0.0,1.0,1.0,75.0,3,30,80
3417,4,2.0,1.0,3.0,100.0,3,1125,23
2959,3,1.0,1.0,1.0,75.0,4,60,26
3015,2,1.0,1.0,1.0,150.0,1,1125,0
5739,5,3.0,1.0,4.0,99.0,3,20,7
3143,2,1.0,1.0,1.0,95.0,2,90,53
6885,2,1.0,3.0,1.0,70.0,2,1125,3
2072,6,3.0,2.0,4.0,290.0,4,365,32
6758,4,2.0,1.0,2.0,43.0,4,100,4
5892,4,1.0,1.0,2.0,110.0,1,1125,281
2548,4,1.0,1.0,1.0,45.0,2,15,5
2416,3,0.0,1.0,2.0,75.0,2,1125,228
7022,4,1.0,1.0,1.0,55.0,6,20,3
499,5,2.0,1.0,2.0,150.0,4,22,81
1636,2,1.0,1.0,1.0,70.0,3,365,185
1352,1,1.0,2.0,1.0,30.0,30,30,3
7842,2,0.0,0.0,0.0,40.0,1,30,44
4086,4,2.0,1.0,2.0,160.0,1,1125,3
6324,4,0.0,1.0,1.0,90.0,2,7,0
6757,2,0.0,1.0,1.0,50.0,3,25,6
4049,3,1.0,1.0,3.0,85.0,5,90,51
462,6,3.0,3.0,3.0,550.0,3,40,21
1864,4,1.0,1.0,2.0,65.0,2,62,79
5511,2,1.0,1.0,1.0,65.0,2,12,43
622,4,2.0,1.0,2.0,99.0,1,1125,342
5078,2,1.0,1.0,1.0,35.0,8,25,0
6718,2,1.0,1.0,1.0,135.0,3,1125,241
3813,4,1.0,1.0,2.0,65.0,3,1125,1
3287,4,1.0,1.0,2.0,45.0,2,30,1
3067,4,1.0,1.5,2.0,65.0,7,50,0
1482,2,0.0,1.0,1.0,50.0,6,1125,27
2564,2,1.0,1.0,1.0,55.0,5,40,6
2162,2,1.0,1.0,1.0,63.0,1,4,155
5673,4,1.0,1.0,1.0,110.0,3,21,6
4898,3,0.0,1.0,1.0,85.0,1,1125,0
6539,6,3.0,1.0,4.0,190.0,5,27,24
4118,4,1.0,1.0,1.0,96.0,30,1125,3
2981,2,0.0,1.0,2.0,60.0,93,1124,5
6100,2,0.0,1.0,2.0,37.0,10,1125,7
6041,4,1.0,1.0,2.0,95.0,21,1125,5
5827,4,1.0,1.0,3.0,80.0,1,1125,16
7947,5,2.0,1.0,4.0,100.0,3,20,19
7104,4,3.0,2.0,3.0,130.0,1,1125,0
7238,2,1.0,1.0,1.0,66.0,1,1125,467
51,2,1.0,1.0,1.0,900.0,3,730,0
7186,12,6.0,2.5,7.0,406.0,2,1125,57
5203,3,1.0,1.0,2.0,80.0,2,1125,0
1372,4,2.0,1.0,2.0,118.0,3,1125,7
3595,6,3.0,1.0,3.0,200.0,5,14,1
1648,3,1.0,1.0,1.0,85.0,3,15,13
3682,3,1.0,1.0,1.0,79.0,100,1125,24
853,6,2.0,1.5,5.0,150.0,5,30,4
843,4,1.0,1.0,2.0,120.0,7,1125,0
6831,2,1.0,1.0,1.0,90.0,3,1125,0
3337,2,0.0,1.0,1.0,85.0,5,20,33
4099,8,3.0,2.0,5.0,420.0,1,1125,67
1624,2,1.0,1.0,1.0,125.0,5,60,17
6312,2,1.0,1.0,1.0,50.0,7,1125,3
2192,4,0.0,1.0,3.0,69.0,3,1125,42
1750,1,2.0,1.0,2.0,36.0,1,6,95
1913,4,2.0,1.0,3.0,250.0,4,50,23
3780,4,2.0,1.0,3.0,160.0,4,65,13
1610,2,1.0,1.0,1.0,69.0,4,1125,59
7442,2,0.0,1.0,1.0,75.0,93,1125,138
5346,4,1.0,1.0,2.0,85.0,3,10,21
1516,5,1.0,1.0,5.0,90.0,2,60,58
1053,4,1.0,1.0,2.0,150.0,2,1125,43
6909,2,1.0,1.0,1.0,50.0,1,1125,8
1036,6,3.0,1.0,3.0,230.0,5,90,75
4321,3,1.0,1.0,1.0,60.0,3,1125,144
5403,4,0.0,1.0,2.0,40.0,1,1125,17
3457,2,1.0,1.0,0.0,90.0,5,14,22
4681,2,1.0,1.0,1.0,95.0,4,1125,6
6965,2,1.0,1.0,0.0,70.0,4,120,294
4825,4,1.0,1.0,2.0,110.0,7,30,4
5562,4,1.0,1.0,3.0,60.0,3,1125,2
5916,5,2.0,1.0,2.0,78.0,5,90,19
3443,2,1.0,1.0,1.0,74.0,30,1125,0
6637,2,1.0,1.0,1.0,70.0,1,1125,0
3673,4,1.0,1.0,2.0,100.0,3,9,22
4229,4,2.0,1.0,3.0,130.0,13,1124,39
5423,4,1.0,1.0,2.0,85.0,2,7,3
1085,5,3.0,2.0,3.0,230.0,5,21,0
1845,6,2.0,1.0,3.0,89.0,4,14,85
7183,2,1.0,1.0,1.0,80.0,1,1125,0
807,4,1.0,1.0,2.0,100.0,2,7,77
4210,3,1.0,1.0,1.0,40.0,3,1124,16
2326,2,0.0,1.0,1.0,185.0,3,365,4
2399,2,1.0,1.0,1.0,104.0,2,1125,0
3340,2,2.0,2.0,2.0,150.0,12,100,12
979,2,1.0,1.0,0.0,69.0,4,15,4
6202,4,2.0,1.0,2.0,92.0,2,1125,11
5053,2,1.0,1.0,1.0,50.0,1,1125,0
2254,3,1.0,1.0,2.0,85.0,3,10,34
5243,4,1.0,1.0,1.0,95.0,5,1125,0
2988,2,0.0,1.0,1.0,80.0,3,365,40
7163,2,0.0,1.0,1.0,69.0,14,1125,12
909,2,1.0,1.0,1.0,50.0,3,13,8
1800,2,1.0,1.0,1.0,130.0,4,10,0
824,2,1.0,1.0,0.0,66.0,2,30,90
3185,2,1.0,1.0,1.0,160.0,1,1125,0
1222,1,1.0,1.0,1.0,65.0,5,21,17
4847,3,1.0,1.0,2.0,65.0,2,30,1
946,2,2.0,1.0,1.0,79.0,3,60,52
6462,2,1.0,1.0,1.0,150.0,7,1125,0
1688,5,1.0,1.0,3.0,109.0,3,364,197
410,4,2.0,2.0,2.0,230.0,2,180,16
788,1,1.0,1.0,1.0,120.0,4,21,2
7589,2,1.0,1.0,1.0,450.0,14,1125,1
7268,2,1.0,1.0,1.0,78.0,3,1120,0
4536,2,1.0,1.0,1.0,50.0,1,1125,28
20,2,1.0,1.0,1.0,78.0,5,9,339
168,4,1.0,1.0,2.0,95.0,1,30,239
3172,2,0.0,1.0,1.0,57.0,15,90,46
5990,7,3.0,2.0,5.0,299.0,5,1125,88
6394,8,4.0,4.5,5.0,600.0,2,90,83
5592,1,0.0,1.0,1.0,35.0,3,5,6
7706,1,0.0,1.0,1.0,29.0,4,1125,0
6134,4,1.0,1.0,2.0,100.0,2,1125,8
7707,2,0.0,1.0,1.0,50.0,1,1125,22
792,4,2.0,1.0,3.0,90.0,3,15,48
2499,2,1.0,1.0,1.0,121.0,7,1125,6
2588,4,1.0,1.0,2.0,90.0,3,1125,54
5430,2,1.0,1.0,1.0,70.0,1,1125,0
4641,4,2.0,1.5,2.0,100.0,4,40,20
3432,3,0.0,1.0,1.0,130.0,91,1125,1
744,2,1.0,1.0,1.0,95.0,2,180,56
3724,2,1.0,1.0,1.0,130.0,7,20,53
3622,4,2.0,1.0,2.0,80.0,2,15,1
6980,3,1.0,1.0,1.0,130.0,1,1125,24
5812,2,0.0,1.0,1.0,65.0,2,1125,5
5347,4,2.0,1.0,2.0,190.0,91,1125,1
7517,2,0.0,1.0,1.0,42.0,2,15,44
3017,2,1.0,1.0,1.0,46.0,3,1125,32
5740,3,2.0,1.0,2.0,200.0,5,1125,1
2933,5,2.0,1.0,2.0,129.0,5,1125,20
3394,4,2.0,2.0,3.0,84.0,2,6,0
6759,2,1.0,1.0,1.0,110.0,5,1125,7
2199,4,3.0,1.0,3.0,220.0,7,30,0
7405,1,1.0,1.0,1.0,45.0,3,1125,1
6479,2,1.0,1.0,1.0,85.0,2,6,23
2177,5,2.0,1.0,3.0,220.0,1,365,177
7757,2,0.0,1.0,1.0,75.0,7,1125,0
3410,3,1.0,1.0,2.0,350.0,45,90,19
4067,4,2.0,2.0,3.0,200.0,3,1125,198
5684,2,0.0,1.0,2.0,70.0,5,1125,120
6918,2,0.0,1.0,1.0,52.0,3,1125,19
7818,2,1.0,1.0,1.0,42.0,3,1125,121
4531,2,1.0,1.0,1.0,69.0,2,7,4
1827,4,1.0,1.0,2.0,60.0,3,1125,3
7450,2,1.0,1.0,1.0,50.0,2,1125,0
2287,2,1.0,1.5,1.0,75.0,1,365,313
5129,4,1.0,1.0,1.0,50.0,2,4,2
3145,2,0.0,1.0,1.0,70.0,3,90,287
2441,6,3.0,2.0,3.0,190.0,7,1125,10
845,3,2.0,1.0,2.0,200.0,2,1125,5
3045,4,1.0,1.0,2.0,120.0,4,31,9
4464,2,1.0,1.0,1.0,59.0,3,30,18
910,1,1.0,1.0,1.0,57.0,3,10,69
270,2,1.0,1.0,1.0,79.0,2,30,34
7977,2,1.0,1.0,1.0,85.0,5,14,9
6212,4,2.0,1.0,3.0,150.0,4,1125,10
967,2,1.0,1.0,1.0,45.0,7,60,16
5886,4,1.0,1.0,1.0,150.0,4,1125,0
5930,5,2.0,1.5,3.0,350.0,1,1125,25
112,3,2.0,1.5,2.0,130.0,7,100,16
3932,2,1.0,1.0,1.0,150.0,7,30,12
178,2,1.0,1.0,1.0,150.0,4,30,221
3451,2,0.0,1.0,2.0,45.0,120,305,29
3818,2,1.0,1.0,1.0,70.0,2,1125,345
3495,4,1.0,1.0,2.0,67.0,2,10,17
3136,4,0.0,1.0,2.0,88.0,4,6,106
6969,2,1.0,1.0,1.0,70.0,2,1125,0
2878,2,0.0,1.0,1.0,60.0,1,1125,8
7379,4,1.0,1.0,2.0,85.0,4,21,0
4064,6,2.0,1.0,1.0,90.0,2,1125,38
2476,4,2.0,1.0,2.0,75.0,5,1125,8
6903,4,1.0,1.0,2.0,40.0,1,1125,0
5439,4,1.0,1.0,2.0,70.0,3,15,2
1188,2,1.0,1.0,1.0,50.0,5,1001,64
1420,2,1.0,1.0,1.0,55.0,5,1125,2
1378,1,1.0,1.0,1.0,45.0,2,365,11
7865,2,1.0,1.0,1.0,75.0,3,7,0
1100,4,1.0,1.0,2.0,55.0,1,6,222
7564,2,1.0,1.5,0.0,62.0,4,1125,116
797,2,1.0,1.5,1.0,83.0,1,90,298
5692,5,2.0,2.0,3.0,169.0,1,365,56
5474,6,2.0,1.0,4.0,80.0,2,1125,0
6839,3,1.0,1.0,2.0,70.0,2,1125,74
2436,4,2.0,1.0,2.0,125.0,3,8,8
2352,4,2.0,1.0,2.0,180.0,4,50,5
1731,7,3.0,1.0,6.0,145.0,4,21,25
1287,3,0.0,1.0,1.0,84.0,1,150,301
4575,7,3.0,2.0,4.0,195.0,7,1125,11
6751,2,1.0,1.0,1.0,89.0,2,10,18
7496,2,1.0,1.0,1.0,115.0,10,1125,25
186,2,1.0,1.0,1.0,45.0,3,100,4
3666,4,1.0,1.0,2.0,58.0,5,1125,15
7326,4,0.0,1.0,1.0,75.0,6,1125,5
1708,1,1.0,1.0,1.0,40.0,2,5,10
6187,6,3.0,3.0,3.0,208.0,4,15,2
7245,4,2.0,2.0,3.0,324.0,5,30,38
2393,2,0.0,1.0,1.0,64.0,2,30,245
5761,4,1.0,1.0,2.0,40.0,2,30,26
7789,2,1.0,1.0,1.0,70.0,1,7,3
4156,6,3.0,1.0,3.0,139.0,6,1125,6
3324,2,1.0,1.0,2.0,169.0,2,19,41
7635,3,2.0,1.0,1.0,90.0,5,15,35
5553,6,3.0,2.0,5.0,130.0,2,1125,39
7991,2,0.0,1.0,1.0,59.0,30,1125,32
6273,2,1.0,1.0,1.0,70.0,1,1125,14
3007,3,0.0,1.0,2.0,66.0,3,80,32
4553,6,3.0,2.0,3.0,100.0,5,15,6
1673,2,1.0,1.0,1.0,28.0,1,4,15
6948,2,0.0,1.0,2.0,35.0,365,1125,2
4485,2,0.0,1.0,1.0,70.0,1,1125,22
7515,4,2.0,1.0,3.0,148.0,5,120,110
1481,3,1.0,1.0,1.0,99.0,3,1125,1
5756,2,1.0,1.0,1.0,50.0,5,60,15
794,1,1.0,1.0,1.0,70.0,5,500,112
2038,4,1.0,1.0,2.0,130.0,3,10,68
5168,4,1.0,1.0,2.0,93.0,4,50,11
7335,2,1.0,1.0,2.0,68.0,2,15,32
6255,2,0.0,1.0,1.0,150.0,91,1125,0
6955,4,1.0,1.0,1.0,288.0,3,1125,5
3778,3,1.0,1.0,2.0,88.0,5,365,17
3561,3,0.0,1.5,2.0,69.0,1,30,266
667,7,4.0,2.0,3.0,80.0,3,35,7
7345,5,2.0,1.0,2.0,110.0,2,1125,98
7966,2,1.0,2.5,1.0,90.0,3,1125,3
2798,4,2.0,1.0,2.0,95.0,2,50,45
903,2,1.0,1.0,1.0,70.0,1,1125,0
5011,4,2.0,1.0,2.0,50.0,2,1125,4
121,2,1.0,1.0,1.0,150.0,2,60,275
7523,2,1.0,1.0,1.0,90.0,2,30,10
5600,4,1.0,1.0,1.0,75.0,1,1125,0
5879,4,1.0,1.0,2.0,80.0,5,21,0
3608,2,0.0,1.0,2.0,50.0,4,120,94
6014,4,2.0,1.0,2.0,119.0,7,15,1
2613,6,3.0,2.0,3.0,160.0,5,1125,55
1715,4,1.0,1.0,2.0,97.0,3,60,6
562,2,1.0,1.0,1.0,80.0,8,30,30
335,4,1.0,1.0,1.0,79.0,1,60,71
4590,5,2.0,1.0,3.0,90.0,2,30,30
4232,2,0.0,1.0,1.0,60.0,2,1125,2
5019,2,1.0,1.0,1.0,95.0,2,1125,0
2140,4,2.0,2.0,3.0,283.0,3,1125,37
6750,2,1.0,1.0,1.0,107.0,3,12,76
